station_name,gchn_daily_id,latitude,longitude,elevation(m),month,day,temp_min,temp_max,precipitation_mtd
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,1,128Q,280Q,5Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,2,126Q,279Q,11Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,3,123Q,277Q,17Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,4,121Q,276Q,22Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,5,119Q,274Q,28Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,6,117Q,273Q,34Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,7,115Q,272Q,40Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,8,113Q,271Q,45Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,9,111Q,270Q,50Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,10,109Q,269Q,55Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,11,108Q,268Q,60Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,12,107Q,268Q,65Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,13,106Q,267Q,69Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,14,104Q,267Q,74Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,15,104Q,266Q,79Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,16,103Q,266Q,83Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,17,102Q,266Q,87Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,18,102Q,266Q,92Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,19,101Q,266Q,96Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,20,101Q,266Q,101Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,21,101Q,266Q,106Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,22,101Q,267Q,111Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,23,101Q,267Q,116Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,24,101Q,267Q,121Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,25,101Q,268Q,127Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,26,102Q,269Q,132Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,27,102Q,270Q,138Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,28,103Q,271Q,143Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,29,104Q,272Q,149Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,30,104Q,273Q,155Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,1,31,105Q,274Q,160Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,2,1,106Q,275Q,7Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,2,2,107Q,276Q,14Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,2,3,108Q,278Q,22Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,2,4,110Q,279Q,29Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,2,5,111Q,281Q,37Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,2,6,112Q,282Q,44Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,2,7,113Q,284Q,51Q
ON EGBERT 1 W,CAW00064757,44.2325,-79.7811,246.0,2,8,115Q,286Q,59Q
