station_name,gchn_daily_id,latitude,longitude,elevation(m),month,day,temp_min,temp_max,precipitation_mtd
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,1,423S,630S,2S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,2,424S,632S,5S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,3,425S,633S,7S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,4,425S,634S,10S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,5,426S,635S,12S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,6,427S,637S,14S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,7,428S,638S,17S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,8,429S,639S,20S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,9,430S,641S,22S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,10,430S,642S,24S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,11,431S,643S,27S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,12,432S,645S,29S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,13,433S,646S,32S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,14,434S,647S,34S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,15,434S,649S,36S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,16,435S,650S,39S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,17,436S,651S,41S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,18,437S,653S,44S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,19,437S,654S,46S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,20,438S,655S,48S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,21,439S,657S,50S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,22,440S,658S,52S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,23,440S,659S,54S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,24,441S,661S,56S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,25,442S,662S,58S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,26,443S,663S,61S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,27,444S,664S,63S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,28,444S,666S,65S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,29,445S,667S,67S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,30,446S,669S,70S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,1,31,447S,670S,72S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,1,448C,671C,3S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,2,449C,673C,5S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,3,450C,674C,8S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,4,452C,676C,11S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,5,453C,678C,13S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,6,454C,679C,16S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,7,455C,681C,19S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,8,456C,683C,21S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,9,458C,685C,24S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,10,459C,687C,27S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,11,461C,689C,30S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,12,462C,691C,32S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,13,464C,693C,35S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,14,465C,695C,38S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,15,467C,697C,41S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,16,468C,700C,44S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,17,470C,702C,47S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,18,472C,704C,50S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,19,473C,707C,53S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,20,475C,709C,56S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,21,477C,712C,59S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,22,479C,714C,62S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,23,480C,717C,65S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,24,482C,720C,68S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,25,484C,722C,71S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,26,486C,725C,73S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,27,487C,728C,76S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,28,489C,731C,78S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,29,490C,732C,-9999
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,30,-8888,-8888,-8888
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,2,31,-8888,-8888,-8888
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,1,491S,733S,2S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,2,493S,736S,5S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,3,494S,739S,7S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,4,496S,741S,9S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,5,497S,744S,11S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,6,499S,747S,13S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,7,501S,750S,16S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,8,502S,752S,18S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,9,504S,755S,20S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,10,505S,758S,22S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,11,507S,760S,23S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,12,509S,763S,25S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,13,510S,765S,27S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,14,512S,768S,29S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,15,513S,770S,31S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,16,515S,773S,33S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,17,516S,775S,35S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,18,518S,778S,36S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,19,519S,780S,38S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,20,521S,782S,39S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,21,522S,785S,41S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,22,524S,787S,42S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,23,526S,790S,44S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,24,527S,792S,45S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,25,529S,794S,47S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,26,531S,797S,48S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,27,533S,799S,49S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,28,535S,801S,50S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,29,537S,804S,52S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,30,539S,806S,53S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,3,31,541S,809S,54S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,4,1,543S,811S,1S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,4,2,545S,813S,2S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,4,3,548S,816S,3S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,4,4,550S,818S,4S
CA NEEDLES AP,USW00023179,34.7675,-114.6189,271.3,4,5,553S,821S,5S
