station_name,gchn_daily_id,latitude,longitude,elevation(m),month,day,temp_min,temp_max,precipitation_mtd
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,1,null,null,8R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,2,null,null,16R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,3,null,null,24R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,4,null,null,32R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,5,null,null,40R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,6,null,null,48R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,7,null,null,55R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,8,null,null,63R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,9,null,null,71R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,10,null,null,79R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,11,null,null,86R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,12,null,null,94R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,13,null,null,101R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,14,null,null,108R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,15,null,null,115R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,16,null,null,123R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,17,null,null,131R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,18,null,null,138R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,19,null,null,146R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,20,null,null,152R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,21,null,null,159R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,22,null,null,166R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,23,null,null,172R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,24,null,null,179R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,25,null,null,185R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,26,null,null,191R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,27,null,null,197R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,28,null,null,203R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,29,null,null,209R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,30,null,null,215R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,1,31,null,null,221R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,1,null,null,6R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,2,null,null,12R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,3,null,null,19R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,4,null,null,25R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,5,null,null,31R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,6,null,null,37R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,7,null,null,44R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,8,null,null,50R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,9,null,null,56R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,10,null,null,62R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,11,null,null,69R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,12,null,null,76R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,13,null,null,84R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,14,null,null,90R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,15,null,null,97R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,16,null,null,104R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,17,null,null,110R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,18,null,null,118R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,19,null,null,125R
IN KINGSBURY 1N,USC00124613,41.5375,-86.7014,230.1,2,20,null,null,132R
