station_name,gchn_daily_id,latitude,longitude,elevation(m),month,day,temp_min,temp_max,precipitation_mtd
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,1,null,null,11Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,2,null,null,22Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,3,null,null,33Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,4,null,null,44Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,5,null,null,55Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,6,null,null,66Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,7,null,null,77Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,8,null,null,88Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,9,null,null,99Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,10,null,null,109Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,11,null,null,120Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,12,null,null,131Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,13,null,null,141Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,14,null,null,151Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,15,null,null,161Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,16,null,null,172Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,17,null,null,182Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,18,null,null,193Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,19,null,null,203Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,20,null,null,213Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,21,null,null,223Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,22,null,null,233Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,23,null,null,243Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,24,null,null,253Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,25,null,null,264Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,26,null,null,274Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,27,null,null,284Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,28,null,null,294Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,29,null,null,303Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,30,null,null,313Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,1,31,null,null,324Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,1,null,null,15Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,2,null,null,29Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,3,null,null,44Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,4,null,null,59Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,5,null,null,73Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,6,null,null,87Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,7,null,null,99Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,8,null,null,112Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,9,null,null,125Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,10,null,null,137Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,11,null,null,151Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,12,null,null,164Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,13,null,null,178Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,14,null,null,191Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,15,null,null,204Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,16,null,null,218Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,17,null,null,232Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,18,null,null,246Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,19,null,null,259Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,20,null,null,272Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,21,null,null,283Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,22,null,null,294Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,23,null,null,305Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,24,null,null,316Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,25,null,null,328Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,26,null,null,339Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,27,null,null,351Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,28,null,null,362Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,29,null,null,-9999
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,30,null,null,-8888
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,2,31,null,null,-8888
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,1,null,null,12Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,2,null,null,23Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,3,null,null,35Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,4,null,null,47Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,5,null,null,58Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,6,null,null,69Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,7,null,null,81Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,8,null,null,93Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,9,null,null,105Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,10,null,null,117Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,11,null,null,129Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,12,null,null,141Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,13,null,null,152Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,14,null,null,165Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,15,null,null,179Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,16,null,null,192Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,17,null,null,205Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,18,null,null,218Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,19,null,null,232Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,20,null,null,247Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,21,null,null,263Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,22,null,null,278Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,23,null,null,293Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,24,null,null,309Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,25,null,null,325Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,26,null,null,342Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,27,null,null,358Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,28,null,null,372Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,29,null,null,385Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,30,null,null,399Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,3,31,null,null,414Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,4,1,null,null,10Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,4,2,null,null,20Q
KY GODMAN AFBU FT KNOX,USW00013807,37.9000,-85.9667,224.0,4,3,null,null,31Q
