station_name,gchn_daily_id,latitude,longitude,elevation(m),month,day,temp_min,temp_max,precipitation_mtd
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,1,62R,362R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,2,63R,362R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,3,65R,363R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,4,66R,363R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,5,68R,364R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,6,69R,364R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,7,70R,364R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,8,72R,365R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,9,73R,365R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,10,74R,366R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,11,74R,366R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,12,75R,366R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,13,76R,367R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,14,76R,367R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,15,76R,367R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,16,76R,368R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,17,76R,368R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,18,76R,368R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,19,75R,369R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,20,75R,369R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,21,74R,369R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,22,73R,370R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,23,73R,370R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,24,72R,371R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,25,71R,372R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,26,70R,372R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,27,69R,373R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,28,68R,374R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,29,67R,375R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,30,66R,375R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,1,31,65R,376R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,1,64R,378R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,2,64R,379R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,3,63R,380R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,4,63R,381R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,5,63R,383R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,6,63R,384R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,7,64R,386R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,8,64R,388R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,9,65R,390R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,10,66R,392R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,11,67R,394R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,12,69R,396R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,13,71R,398R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,14,73R,401R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,15,76R,403R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,16,78R,406R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,17,81R,409R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,18,85R,411R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,19,88R,414R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,20,92R,417R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,21,96R,420R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,22,101R,423R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,23,105R,426R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,24,110R,429R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,25,115R,433R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,26,120R,436R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,27,125R,439R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,28,131R,443R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,29,133R,444R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,30,-8888,-8888,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,2,31,-8888,-8888,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,3,1,136R,446R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,3,2,142R,449R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,3,3,147R,453R,null
MT LAME DEER,USC00244839,45.6258,-106.6642,1005.,3,4,153R,456R,null
