station_name,gchn_daily_id,latitude,longitude,elevation(m),month,day,temp_min,temp_max,precipitation_mtd
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,1,328Q,616Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,2,329Q,616Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,3,329Q,616Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,4,330Q,616Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,5,330Q,617Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,6,331Q,617Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,7,332Q,617Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,8,333Q,618Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,9,334Q,618Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,10,335Q,619Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,11,336Q,620Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,12,337Q,621Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,13,339Q,622Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,14,340Q,623Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,15,341Q,624Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,16,342Q,625Q,null
TX PANTHER JUNCTION 2 N,USW00022016,29.3483,-103.2092,1065.,1,17,344Q,627Q,null
